,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,"[[26 14]
 [11 40]]","[[30 10]
 [12 39]]","[[33  7]
 [ 9 42]]","[[32  8]
 [13 38]]","[[24 16]
 [16 35]]","[[33  7]
 [13 38]]","[[30 10]
 [10 41]]","[[25 15]
 [12 39]]","[[32  8]
 [ 9 42]]"
1,"[[24 16]
 [11 40]]","[[23 17]
 [ 9 42]]","[[31  9]
 [10 41]]","[[32  8]
 [ 9 42]]","[[31  9]
 [13 38]]","[[27 13]
 [13 38]]","[[30 10]
 [12 39]]","[[21 19]
 [11 40]]","[[29 11]
 [15 36]]"
2,"[[23 17]
 [11 40]]","[[29 11]
 [11 40]]","[[29 11]
 [ 8 43]]","[[30 10]
 [10 41]]","[[21 19]
 [16 35]]","[[30 10]
 [14 37]]","[[28 12]
 [10 41]]","[[25 15]
 [14 37]]","[[30 10]
 [ 8 43]]"
3,"[[30 10]
 [11 40]]","[[24 16]
 [10 41]]","[[31  9]
 [10 41]]","[[31  9]
 [12 39]]","[[29 11]
 [13 38]]","[[28 12]
 [13 38]]","[[28 12]
 [10 41]]","[[20 20]
 [ 8 43]]","[[30 10]
 [11 40]]"
4,"[[21 19]
 [15 36]]","[[25 15]
 [ 9 42]]","[[26 14]
 [14 37]]","[[25 15]
 [13 38]]","[[26 14]
 [ 9 42]]","[[28 12]
 [11 40]]","[[28 12]
 [12 39]]","[[25 15]
 [13 38]]","[[28 12]
 [10 41]]"
5,"[[27 13]
 [12 39]]","[[11 29]
 [ 6 45]]","[[27 13]
 [13 38]]","[[25 15]
 [13 38]]","[[32  8]
 [23 28]]","[[30 10]
 [13 38]]","[[27 13]
 [15 36]]","[[15 25]
 [ 6 45]]","[[29 11]
 [13 38]]"
6,"[[24 16]
 [11 40]]","[[23 17]
 [ 9 42]]","[[31  9]
 [10 41]]","[[32  8]
 [ 9 42]]","[[31  9]
 [13 38]]","[[27 13]
 [13 38]]","[[29 11]
 [12 39]]","[[21 19]
 [11 40]]","[[29 11]
 [15 36]]"
7,"[[27 13]
 [12 39]]","[[28 12]
 [12 39]]","[[34  6]
 [12 39]]","[[32  8]
 [11 40]]","[[17 23]
 [13 38]]","[[32  8]
 [14 37]]","[[28 12]
 [13 38]]","[[25 15]
 [11 40]]","[[31  9]
 [13 38]]"
8,"[[20 20]
 [13 38]]","[[23 17]
 [11 40]]","[[23 17]
 [10 41]]","[[25 15]
 [ 7 44]]","[[22 18]
 [10 41]]","[[25 15]
 [10 41]]","[[27 13]
 [11 40]]","[[23 17]
 [10 41]]","[[25 15]
 [10 41]]"
9,"[[23 17]
 [13 38]]","[[25 15]
 [10 41]]","[[25 15]
 [10 41]]","[[30 10]
 [10 41]]","[[34  6]
 [18 33]]","[[31  9]
 [14 37]]","[[28 12]
 [11 40]]","[[27 13]
 [15 36]]","[[31  9]
 [12 39]]"
